rule,t,avgMaxRadius,stdMaxRadius,avgAliveCells,stdAliveCells
Rule1112,0,28.0070,3.13756,411.680,28.4011
Rule1112,1,29.2911,3.15274,230.700,19.9512
Rule1112,2,30.5928,3.16225,588.640,48.2963
Rule1112,3,31.9085,3.17019,333.640,30.2833
Rule1112,4,33.2369,3.17525,724.110,57.1994
Rule1112,5,34.5728,3.18108,476.960,40.5208
Rule1112,6,35.9149,3.18761,931.340,69.9109
Rule1112,7,37.2658,3.19302,563.900,51.6710
Rule1112,8,38.6223,3.19854,911.460,60.2816
Rule1112,9,39.9828,3.20441,844.850,66.1212
Rule1112,10,41.3470,3.21040,1137.74,71.7216
Rule1112,11,42.7146,3.21644,990.860,82.2602
Rule1112,12,44.0856,3.22201,1339.02,81.2805
Rule1112,13,45.4598,3.22709,1144.17,81.5530
Rule1112,14,46.8369,3.23155,1604.66,96.0516
Rule1112,15,48.1782,3.16082,1341.14,104.243
Rule1112,16,49.5469,3.14897,1620.04,94.5417
Rule1112,17,50.9212,3.14313,1666.03,115.191
Rule1112,18,52.2988,3.14063,1956.23,111.874
Rule1112,19,53.6275,3.10502,1840.57,129.003
Rule1112,20,54.9699,3.10521,2186.51,113.889
Rule1112,21,56.2689,3.06255,2082.93,133.613
Rule1112,22,57.5317,3.03175,2600.13,133.629
Rule1112,23,58.5758,2.96636,2236.15,145.426
Rule1112,24,59.8471,2.92735,2630.41,122.400
Rule1112,25,60.9605,2.79818,2625.33,149.161
Rule1112,26,62.1515,2.67983,2938.28,111.767
Rule1112,27,63.2354,2.51515,2811.32,148.169
Rule1112,28,64.4195,2.45991,3182.13,103.215
Rule1112,29,65.3123,2.36514,3007.10,131.927
Rule1112,30,66.3533,2.19420,3370.52,84.3469
Rule1112,31,66.9920,1.92954,3200.96,127.223
Rule1112,32,67.8953,1.67863,3397.98,69.3195
Rule1112,33,68.4405,1.37350,3418.23,105.145
Rule1112,34,69.0092,1.05560,3546.86,56.6870
Rule1112,35,69.4076,0.881897,3532.64,90.9871
Rule1112,36,69.7485,0.648501,3621.19,53.6667
Rule1112,37,69.9101,0.571660,3619.76,72.3502
Rule1112,38,70.1204,0.485681,3689.87,43.4173
Rule1112,39,70.2252,0.432353,3679.04,61.6990
Rule1112,40,70.2819,0.433839,3731.38,46.3247
Rule1112,41,70.3871,0.352407,3736.12,50.9532
Rule1112,42,70.4223,0.361630,3765.53,42.1863
Rule1112,43,70.4574,0.339398,3771.19,48.1598
Rule1112,44,70.4222,0.347765,3790.33,37.8677
Rule1112,45,70.4786,0.346942,3799.11,43.9635
Rule1112,46,70.4574,0.339398,3810.21,36.5683
Rule1112,47,70.4926,0.327020,3818.75,36.0391
Rule1112,48,70.5067,0.320846,3826.29,35.1330
Rule1112,49,70.5067,0.320846,3830.35,34.9783
Rule1112,50,70.5067,0.320846,3836.57,32.3935
Rule1112,51,70.5137,0.317478,3841.72,34.3967
Rule1112,52,70.5137,0.317478,3841.98,31.4116
Rule1112,53,70.4996,0.324025,3847.54,32.5786
Rule1112,54,70.5207,0.313915,3848.99,30.6217
Rule1112,55,70.5278,0.310149,3850.12,32.6538
Rule1112,56,70.5278,0.310149,3852.04,29.0770
Rule1112,57,70.5348,0.306175,3853.42,32.1317
Rule1112,58,70.5348,0.306175,3852.51,29.4857
Rule1112,59,70.5418,0.301982,3854.79,30.9729
Rule1112,60,70.5418,0.301982,3854.81,30.2403
Rule1112,61,70.5418,0.301982,3854.80,31.6971
Rule1112,62,70.5418,0.301982,3855.17,29.2647
Rule1112,63,70.5418,0.301982,3856.39,32.1125
Rule1112,64,70.5418,0.301982,3854.85,29.5489
Rule1112,65,70.5418,0.301982,3857.42,31.5714
Rule1112,66,70.5418,0.301982,3855.79,30.4648
Rule1112,67,70.5418,0.301982,3855.75,31.5557
Rule1112,68,70.5418,0.301982,3856.32,29.5812
Rule1112,69,70.5418,0.301982,3856.94,32.3394
Rule1112,70,70.5418,0.301982,3855.13,29.4638
Rule1112,71,70.5418,0.301982,3857.19,31.3761
Rule1112,72,70.5418,0.301982,3856.23,30.1826
Rule1112,73,70.5418,0.301982,3856.15,31.9145
Rule1112,74,70.5418,0.301982,3855.97,29.2559
Rule1112,75,70.5418,0.301982,3857.11,32.0258
Rule1112,76,70.5418,0.301982,3855.04,29.7881
Rule1112,77,70.5418,0.301982,3857.53,31.3676
Rule1112,78,70.5418,0.301982,3856.12,30.3056
Rule1112,79,70.5418,0.301982,3855.80,31.6636
Rule1112,80,70.5418,0.301982,3856.35,29.3981
Rule1112,81,70.5418,0.301982,3857.01,32.3752
Rule1112,82,70.5418,0.301982,3855.14,29.2872
Rule1112,83,70.5418,0.301982,3857.29,31.3454
Rule1112,84,70.5418,0.301982,3856.09,30.3558
Rule1112,85,70.5418,0.301982,3856.24,31.7335
Rule1112,86,70.5418,0.301982,3856.05,29.5773
Rule1112,87,70.5418,0.301982,3856.92,31.8293
Rule1112,88,70.5418,0.301982,3855.21,29.8049
Rule1112,89,70.5418,0.301982,3857.54,31.3222
Rule1112,90,70.5418,0.301982,3856.05,30.2175
Rule1112,91,70.5418,0.301982,3855.75,31.8999
Rule1112,92,70.5418,0.301982,3856.29,29.2113
Rule1112,93,70.5418,0.301982,3857.25,32.4269
Rule1112,94,70.5418,0.301982,3854.94,29.3198
Rule1112,95,70.5418,0.301982,3857.37,31.2454
Rule1112,96,70.5418,0.301982,3856.18,30.4513
Rule1112,97,70.5418,0.301982,3856.09,31.6905
Rule1112,98,70.5418,0.301982,3856.15,29.4702
Rule1112,99,70.5418,0.301982,3856.79,32.0584
Rule3323,0,14.8741,2.07680,52.2400,9.97281
Rule3323,1,13.1361,2.07991,42.6700,10.0464
Rule3323,2,12.7406,2.19911,43.4700,12.1301
Rule3323,3,12.7098,2.22283,41.1400,12.9233
Rule3323,4,12.5429,2.33455,41.9700,14.6097
Rule3323,5,12.4665,2.44880,40.4000,13.6803
Rule3323,6,12.5347,2.46614,41.4900,15.8296
Rule3323,7,12.6053,2.49573,40.6800,15.6359
Rule3323,8,12.5173,2.61078,40.9800,16.3503
Rule3323,9,12.6091,2.66699,41.3200,16.7488
Rule3323,10,12.7396,2.65395,41.1200,17.2001
Rule3323,11,12.8061,2.70130,41.6800,18.0487
Rule3323,12,12.8578,2.72809,41.7900,18.2404
Rule3323,13,12.8738,2.77334,43.3200,19.6977
Rule3323,14,12.9164,2.85614,42.6000,19.3813
Rule3323,15,13.0124,2.90047,43.8800,19.7112
Rule3323,16,13.0723,2.88418,43.8300,20.9372
Rule3323,17,13.1994,2.85083,44.2700,20.6426
Rule3323,18,13.2633,2.90352,44.3200,20.7705
Rule3323,19,13.4385,2.92443,45.5700,22.5927
Rule3323,20,13.5074,3.00007,45.3500,22.0332
